word,occurrence,percentage,cumulative
m²,30,0.0002,0.5596899999999995
brand,30,0.0002,0.5598899999999994
tour,30,0.0002,0.5600899999999994
ongeval,30,0.0002,0.5602899999999994
let,30,0.0002,0.5604899999999994
tiktok,30,0.0002,0.5606899999999994
terwijl,30,0.0002,0.5608899999999993
leuke,30,0.0002,0.5610899999999993
moest,30,0.0002,0.5612899999999993
bm,30,0.0002,0.5614899999999993
weathercloud,29,0.000193,0.5616829999999993
rel,29,0.000193,0.5618759999999993
index,29,0.000193,0.5620689999999993
hadden,29,0.000193,0.5622619999999993
probleem,29,0.000193,0.5624549999999993
kdk,29,0.000193,0.5626479999999993
thuis,29,0.000193,0.5628409999999993
k,29,0.000193,0.5630339999999993
feyenoord,29,0.000193,0.5632269999999993
regering,29,0.000193,0.5634199999999993
id,29,0.000193,0.5636129999999993
geworden,29,0.000193,0.5638059999999993
belgië,29,0.000193,0.5639989999999993
dictatuur,29,0.000193,0.5641919999999992
weken,29,0.000193,0.5643849999999992
enige,29,0.000193,0.5645779999999992
24,29,0.000193,0.5647709999999992
daarom,29,0.000193,0.5649639999999992
incidenten,29,0.000193,0.5651569999999992
zonnepanelen,28,0.000187,0.5653439999999993
bedrijven,28,0.000187,0.5655309999999993
rijden,28,0.000187,0.5657179999999994
ambu,28,0.000187,0.5659049999999994
hoog,28,0.000187,0.5660919999999995
verdachten,28,0.000187,0.5662789999999995
rond,28,0.000187,0.5664659999999996
zin,28,0.000187,0.5666529999999996
gebruiken,28,0.000187,0.5668399999999997
oliegooier,28,0.000187,0.5670269999999997
se,28,0.000187,0.5672139999999998
bang,28,0.000187,0.5674009999999998
temp,28,0.000187,0.5675879999999999
ijbol,28,0.000187,0.5677749999999999
benieuwd,28,0.000187,0.567962
gebruik,27,0.00018,0.5681419999999999
verhaal,27,0.00018,0.5683219999999999
inmiddels,27,0.00018,0.5685019999999998
start,27,0.00018,0.5686819999999998
terecht,27,0.00018,0.5688619999999998
woensdag,27,0.00018,0.5690419999999997
zetten,27,0.00018,0.5692219999999997
r,27,0.00018,0.5694019999999996
zee,27,0.00018,0.5695819999999996
enkele,27,0.00018,0.5697619999999995
jonge,27,0.00018,0.5699419999999995
naam,27,0.00018,0.5701219999999995
zichzelf,27,0.00018,0.5703019999999994
landen,27,0.00018,0.5704819999999994
gelukkig,27,0.00018,0.5706619999999993
waarheid,27,0.00018,0.5708419999999993
woord,27,0.00018,0.5710219999999993
druk,27,0.00018,0.5712019999999992
halen,27,0.00018,0.5713819999999992
jinek_rtl,27,0.00018,0.5715619999999991
hand,26,0.000173,0.5717349999999991
rekeningrijden,26,0.000173,0.5719079999999991
ommetje,26,0.000173,0.5720809999999991
half,26,0.000173,0.572253999999999
natuur,26,0.000173,0.572426999999999
volledig,26,0.000173,0.572599999999999
stap,26,0.000173,0.572772999999999
allen,26,0.000173,0.572945999999999
mannen,26,0.000173,0.5731189999999989
antwoord,26,0.000173,0.5732919999999989
by,26,0.000173,0.5734649999999989
lange,26,0.000173,0.5736379999999989
wtb,26,0.000173,0.5738109999999988
26-06-2023,26,0.000173,0.5739839999999988
